Code,Name,Type,Ownership,HOD Email,Name (Khmer),Address,Phone,Map Link
271,TUBE COFFEE STREET 271,store,franchisee,,ធ្យូបកាហ្វេ ២៧១,"47F Street 271, Sangkat Phsar Doem Thkauv, Khan Chamkarmon, Phnom Penh, Cambodia",015 541 199,https://maps.app.goo.gl/iHEsF925qaHMSuRZ7
BVT,TUBE COFFEE KRONG BAVET,store,franchisee,,ធ្យូបកាហ្វេ ក្រុងបាវិត,"National Road 01, Sangkat Bavet, Bavet City, Svay Rieng Province, Cambodia",015 654 644,https://maps.app.goo.gl/ZfgAGJkFeE5fXhsD8
STT,TUBE COFFEE SANTHORMOK THMEY,store,franchisee,,ធ្យូបកាហ្វេ សន្ធរម៉ុកថ្មី,"770 Street 128, Phum 1, Sangkat Teuk Laork I, Khan Toul Kork, Phnom Penh, Cambodia",070 711 533,https://maps.app.goo.gl/maQsGEE4kNFPcCVS6
KTM,TUBE COFFEE KRONG TA KHMAO,store,franchisee,,ធ្យូបកាហ្វេ ក្រុងតាខ្មៅ,"9 National Road 21, Sangkat Ta Khmao, Krong Ta Khmao, Kandal Province, Cambodia",016 688 363,https://maps.app.goo.gl/FZ3LtTPQtsDucTVx5
AMS,TUBE COFFEE AEON MALL SOTHEAROS,store,franchisee,,ធ្យូបកាហ្វេ អ៊ីអនម៉លសុធារស,"132, Samdech Sothearos Blvd Tonle Bassac, Chamkarmon Phnom Penh, Cambodia",086 303076,https://maps.app.goo.gl/7QKt1She6pU48K4e6
AMM,TUBE COFFEE AEON MALL MEAN CHEY,store,franchisee,,ធ្យូបកាហ្វេ អ៊ីអនម៉លមានជ័យ,"Hun Sen Blvd, Sangkat Chak Angre Krom, Khan Mean Chey, Phnom Penh, Cambodia",0968777100,https://maps.app.goo.gl/ZkBQTs9XoA7raZGk8
AMC,TUBE COFFEE AEON MALL SEN SOK CITY,store,franchisee,,ធ្យូបកាហ្វេ អ៊ីអនម៉លសែនសុខស៊ីធី,"Street 1003, Phum Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia",015 231 531,https://maps.app.goo.gl/bULT9bkESm1BrB9b9
PCT,TUBE COFFEE POCHENTONG,store,franchisee,,ធ្យូបកាហ្វេ ពោធិ៍ចិនតុង,"Russian Federation Blvd, Sangkat Kakab 1, Khan Por Senchey, Phnom Penh, Cambodia",087 397 887,https://maps.app.goo.gl/un8fMDd2JLLgk7y36
KMS,TUBE COFFEE KRAMOUN SAR,store,franchisee,,ធ្យូបកាហ្វេ ក្រមួនសរ,"26 E0 + E1 Preah Ang Duong Street 110, Phum 2, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia",096 585 9998,https://maps.app.goo.gl/ZEsCxSS6fckX8NMr7?g_st=atm
PPN,TUBE COFFEE PREK PNOV,store,franchisee,,ធ្យូបកាហ្វេ ព្រែកព្នៅ,"Land Plot No. 36, National Road 5, Phum Phsar Lech, Sangkat Prek Pnov, Khan Prek Pnov, Phnom Penh, Cambodia",070 217 227,https://maps.app.goo.gl/zp7LRWjT7MpuhfKu6?g_st=atm
MLO,TUBE COFFEE MALINE OFFICE,store,franchisee,,ធ្យូបកាហ្វេ ការិយាល័យម៉ាលីន,"162 Preah Norodom Blvd Corner Street 466, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia",093 767 336,https://maps.app.goo.gl/BhV9mLxp4wXpushg7?g_st=atm
HFB,TUBE COFFEE HANOI FRIENDSHIP,store,franchisee,,ធ្យូបកាហ្វេ មិត្តភាពហាណូយ,"1794, Phnom Penh Hanoi Friendship Blvd, Phum Pong Peay, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia",086 45 90 90,https://maps.app.goo.gl/3WwWiWBGeCB9F7Na7?g_st=atm
CMH,TUBE COFFEE CALMETTE HOSPITAL,store,franchisee,,ធ្យូបកាហ្វេ មន្ទីពេទ្យកាល់ម៉ែត,"Calmette Hospital, Techo Aphivadh Building – 1F, Preah Monivong Blvd, Sangkat Sras Chok, Khan Daun Penh, Phnom Penh, Cambodia.",015 660 695,https://maps.app.goo.gl/3rbiPK3D2MKENTtk6?g_st=atm
MNV,TUBE COFFEE PREAH MONIVONG BLVD,store,franchisee,,ធ្យូបកាហ្វេ មហាវិថីព្រះមុនីវង្ស,"Preah Monivong Blvd, Sangkat Boeung Keng Kang I, Khan Chamkarmon, Phnom Penh, Cambodia",093 263 800,https://maps.app.goo.gl/6eMAjWYb5k99ormR9?g_st=atm
SVN,TUBE COFFEE SOVANNA,store,franchisee,,ធ្យូបកាហ្វេ សុវណ្ណា,"69 + 71E0 Street 271, Phum 4, Sangkat Tomnob Teuk, Khan Boeung Keng Kang, Phnom Penh, Cambodia",096 99 33 956,https://maps.app.goo.gl/pCWAajsZGzAHwvND6
CSP,TUBE COFFEE CHEA SOPHARA,store,franchisee,,ធ្យូបកាហ្វេ ជាសុផារ៉ា,"Peace Station Chea Sophara, Street 598, Sangkat Chrang Chamreah II, Khan Russey Keo, Phnom Penh, Cambodia",087 511 157,https://maps.app.goo.gl/sKKddBEavponssHi6
RKK,TUBE COFFEE ROKAKAONG,store,franchisee,,ធ្យូបកាហ្វេ រកាកោង,"Peace Station RokaKoang, National Road 6, Phum Svay Chrum, Khum Preaek Dambang, Srok Mukh Kampul, Kandal Province, Cambodia",093 587 767,https://maps.app.goo.gl/o5skKUMmuhLEWYWL8
RGA,TUBE COFFEE ROYAL RESIDENT GARDEN ANGKOR,store,franchisee,,ធ្យូបកាហ្វេ សួនព្រះរាជដំណាក់អង្គរ,"Sangkat Svay Dangkum, Krong Siem Reap, Siem Reap Province, Cambodia",010 636 933,https://maps.app.goo.gl/sKKddBEavponssHi6
VKK,TUBE COFFEE VILLA KENG KANG,store,franchisee,,ធ្យូបកាហ្វេ វីឡាកេងកង,"2B Street 288, Phum 6, Boeng Keng Kang Ti Muoy, Chamkarmon, Phnom Penh",010 868 997,https://maps.app.goo.gl/SgkNdPswR8y5LcxB8
DTK,TUBE COFFEE DORNG TONG KOH KONG,store,franchisee,,ធ្យូបកាហ្វេ ដងទង់កោះកុង,"Peace Station Dorng Tong, Street 3, Phum Ti Mouy, Sangkat Smach Mean Chey, Krong Khemmearakphumin, Koh Kong Province, Cambodia",015 388 331,https://maps.app.goo.gl/5aerzBuZngAUXpYp6?g_st=it
KCM,TUBE COFFEE KRONG CHBAR MON,store,franchisee,,ធ្យូបកាហ្វេ ក្រុងច្បារមន,"Peace Station Krong Chbar Mon, National Road 4, Phum Borei Kammeakar, Sangkat Chbar Mon, Krong Chbar Mon, Kampong Speu Province, Cambodia",096 877 9975,https://maps.app.goo.gl/xx5FPtwK9PtzH9SD8?g_st=ic
OU3,TUBE COFFEE OU3 SIHANOUKVILLE,store,franchisee,,ធ្យូបកាហ្វេ អូរបី ក្រុងព្រះសីហនុ,"Peace Station OU3, Street Mittapheap, Phum Pram, Sangkat Lekh Buon, Sihanoukville, Preah Sihanouk Province, Cambodia",016 702 363,https://maps.app.goo.gl/mJG4rhSLSJ5vZSjG7
KM9,TUBE COFFEE KILOMATE 9,store,franchisee,,ធ្យូបកាហ្វេ គីឡូម៉ែត្រ៩,"Peace Station Kilomate 9, National Road 5 , Sangkat Chrang Chamreah I, Khan Russey Keo, Phnom Penh, Cambodia",069 859 589,https://maps.app.goo.gl/W9QYmUPtniSk3mL8A
NSF,TUBE COFFEE NSSF HEAD OFFICE,store,franchisee,,ធ្យូបកាហ្វេ ការិយាល័យកណ្ដាល ប.ស.ស.,"National Social Security Fund Head Office – GF, Street Betong, Sangkat Khmuonh, Khan Sen Sok, Phnom Penh, Cambodia.",093279966,https://maps.app.goo.gl/V4GKHMR9xAnzNqxv9?g_st=atm
KP2,TUBE COFFEE KOH PICH CITY,store,franchisee,,ធ្យូបកាហ្វេ កោះពេជ្រស៊ីធី,"Koh Pich City, KP-004-A02 Street Sopheak Mongkol, Phum14, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia",010 636 933,https://maps.app.goo.gl/db95Pa146kcftu1o7
PTC,TUBE COFFEE BOREY PIPUB THMEY,store,franchisee,,ធ្យូបកាហ្វេ បុរី ពិភពថ្មី ចំការដូង,"Borey Pipub Thmey Ckamkadoung 91+93 Street 7, Phum Sombuor, Sangkat Dangkao, Khan Dangkao, Phnom Penh, Kingdom of Cambodia",016 267 811,https://maps.app.goo.gl/Fej9ZkH1mpvWw6268
371,TUBE COFFEE 371,store,franchisee,,ធ្យូបកាហ្វេ ៣៧១,"360 Street 371, Phum Thnot Chrum, Sangkat Boeng Tumpun, Khan Mean Chey, Phnom Penh, Kingdom of Cambodia",096 476 0808,https://maps.app.goo.gl/i452bWgm7197T1CU9?g_st=it
KLC,TUBE COFFEE KOH KONG LIVING COMPLEX,store,franchisee,,ធ្យូបកាហ្វេ កោះកុងលីវីង ខមផ្លេកស៍,"Koh Kong Living Complex Building - 1F, National Road 48, Phum Cham Yeam, Khum Pak Khlang, Srok Mundul Seima, Koh Kong Province, Kingdom of Cambodia",086 299 962,https://maps.app.goo.gl/b1qzqnqeFezRLUwr6?g_st=it
TKC,TUBE COFFEE TOUL KORK CONCEPT STORE,store,franchisee,,ធ្យូបកាហ្វេ ទួលគោក ខនសិប ស្តរ,"61 Street 315, Phum Pram Muoy, Sangkat Boeng Kak II, Khan Toul Kork, Phnom Penh, Kingdom of Cambodia",096 463 49 49,https://maps.app.goo.gl/j9YXwxpZ6MQMZW387
KMH,TUBE COFFEE PREAH KET MEALEA HOSPITAL,store,franchisee,,ធ្យូបកាហ្វេ មន្ទីរពេទ្យព្រះកេតុមាលា,"Preah Ket Mealea Hospital, Samdech Pichey Sena Tea Banh 297 Building - GF, France St. (47), Phum Dab Bei, Sangkat Srah Chak, Khan Doun Penh, Phnom Penh, Cambodia.",086454988,https://maps.app.goo.gl/xGUQEzdq1jMrsBhV9
KPC,TUBE COFFEE KOMPONG CHAM,store,franchisee,,ធ្យូបកាហ្វេ កំពង់ចាម,"N01 National Road 7, Phum Buon, Sangkat Veal Vong, Krong Kampong Cham, Kampong Cham Province, Kingdom of Cambodia",070313439,https://maps.app.goo.gl/bcQjvfuzRqBHoBDr5
KPP,TUBE COFFEE KRONG POIPET,store,franchisee,,ធ្យូបកាហ្វេ ក្រុងប៉ោយប៉ែត,"Land Pot No. 0009 National Road 5, Phum Baliley Pir, Sangkat Poipet, Krong Poipet, Bantaey Meanchey Province, Kingdom of Cambodia",093838370,https://maps.app.goo.gl/PHzjuUuaQakDdFP9A?g_st=app.nicegram.Share
KNR,TUBE COFFEE KOH NOREA,store,franchisee,,ធ្យូបកាហ្វេ កោះនរា,"Koh Norea Satellite City, Phum Norea, Sangkat Nirouth, Khan Chbar Ampov, Phnom Penh, Kingdom of Cambodia",015719779,https://maps.app.goo.gl/1ZoZeGbKm9eMZ9dH7
OLP,TUBE COFFEE OLYMPIC,store,franchisee,,ធ្យូបកាហ្វេ អូឡាំពិក,"Peace Station Olympic, Street 286 corner Street 199, Phum Pir, Sangkat Olympic, Khan Boeng Keng Kang, Phnom Penh,Kingdom of Cambodia",070 336032,https://maps.app.goo.gl/okSq5je2Pc7nj5in7
GDT,TUBE COFFEE GDT TOWER,store,franchisee,,ធ្យូបកាហ្វេ អគារអគ្គនាយកដ្ឋានពន្ធដារ,"General Department of Taxation Tower, 2-4B, 2F, Street Pondar,Chroy Changvar, Chroy Changvar, Phnom Penh.",093 454 878,https://maps.app.goo.gl/mQbvzSs5eDbJpmA57
PKT,TUBE COFFEE PREK THNAOT,store,franchisee,,ធ្យូបកាហ្វេ ព្រែកត្នោត,"Land Plot No.1763 National Road 2 Preaek Kampues, Dangkao Phnom Penh",070 940 096,https://maps.app.goo.gl/g1dLDVqrhpn6XjEw8
TSP,TUBE COFFEE TOURISM PIER,store,franchisee,,ធ្យូបកាហ្វេ កំពង់ផែទេសចរណ៍,"Tourism Pier Street Samdech Akka Moha Sena Padei Techo Hun Sen Lekh Bei, Preah Sihanoukville",070 630 093,https://maps.app.goo.gl/XgDVhSYykByN18YTA
KBS,TUBE COFFEE KOB SROV,store,franchisee,,ធ្យូបកាហ្វេ កប់ស្រូវ,"Street Tomnob Kobsrov Chaom Chau, Pou Saen Chey Phnom Penh",070 391 009,"https://www.google.com/maps/place/KOI+Th%C3%A9+KOB+SROV/@11.5428742,104.8118891,191m/data=!3m1!1e3!4m6!3m5!1s0x31094f00760bf0ad:0xd66e8e098e10389c!8m2!3d11.5425952!4d104.8117198!16s%2Fg%2F11x83ttk1p?authuser=0&entry=ttu&g_ep=EgoyMDI2MDQyMi4wIKXMDSoASAFQAw%3D%3D"
BKS,TUBE COFFEE BEKUS,store,franchisee,,ធ្យូបកាហ្វេ បែកគូស,,,
